id,tweet,Entity,Label,Start,End
1278809602763751424,"Let me be clear: There’s no victory to be celebrated when we’re still down nearly 15 million jobs and the pandemic is getting worse, not better.https://twitter.com/CNBCPolitics/status/1278742099450527745 …",nearly 15 million,CARDINAL,75,92
1278776708351451136,This is a job Donald Trump is entirely unfit for.pic.twitter.com/7vipLgLCiU,Donald Trump,PERSON,14,26
1278747263439794178,"“Mr. President, it's too much.”pic.twitter.com/WEebjiPKgj",President,PERSON,5,14
1278733658019500032,This is a shameful move. Now is the time for employers to have empathy for families juggling work and caregiving. It's long past time for President Trump to show some leadership so we can get this virus under control.https://twitter.com/AmandaBecker/status/1278388133487357952 …,Trump,PERSON,148,153
1278498625069502465,"Mr. President, this pandemic isn't about you. It's about the health and well-being of the American people.pic.twitter.com/uxRijdtTmj",President,PERSON,4,13
1278498625069502465,"Mr. President, this pandemic isn't about you. It's about the health and well-being of the American people.pic.twitter.com/uxRijdtTmj",American,NORP,90,98
1278482267396993024,125 days.https://iwillvote.com/,125,CARDINAL,0,3
1278467168250839040,I’ll read my daily briefings.,daily,DATE,13,18
1278455843965612037,"Small businesses are the backbone of communities across our nation, and we need to do so much more to help them. Donald Trump may have forgotten about them — but I never will.pic.twitter.com/RDYKzt1Qc1",Donald Trump,PERSON,113,125
1278455843965612037,"Small businesses are the backbone of communities across our nation, and we need to do so much more to help them. Donald Trump may have forgotten about them — but I never will.pic.twitter.com/RDYKzt1Qc1",will.pic.twitter.com/RDYKzt1Qc1,PERSON,170,201
1278438227163009025,"If the reports are true, Donald Trump either read his briefings about the Russian bounties and did nothing — or he didn't read them at all. Either way, it's an unjustifiable dereliction of duty. The American people deserve answers.https://www.cbsnews.com/news/joe-biden-says-trump-not-cognitively-aware-russia-bounty-intelligence/ …",Donald Trump,PERSON,25,37
1278438227163009025,"If the reports are true, Donald Trump either read his briefings about the Russian bounties and did nothing — or he didn't read them at all. Either way, it's an unjustifiable dereliction of duty. The American people deserve answers.https://www.cbsnews.com/news/joe-biden-says-trump-not-cognitively-aware-russia-bounty-intelligence/ …",Russian,NORP,74,81
1278438227163009025,"If the reports are true, Donald Trump either read his briefings about the Russian bounties and did nothing — or he didn't read them at all. Either way, it's an unjustifiable dereliction of duty. The American people deserve answers.https://www.cbsnews.com/news/joe-biden-says-trump-not-cognitively-aware-russia-bounty-intelligence/ …",American,NORP,199,207
1278415577875394562,"On day one, I’ll get right to work tackling COVID-19. I'll bring together our nation's top experts and leaders from both parties to chart a path forward. We are all in this together — and we've got to fight this together.pic.twitter.com/7An2MOGiiF",day one,DATE,3,10
