id,tweet_text,Entity,Label,Start,End
671131539036577793,RT @FactsOnClimate: BREAKING: @POTUS joins 19 countries to double clean energy funding - https://t.co/T2lZWRsuja #ActOnClimate #COP21 https...,@POTUS,ORG,30,36
671131539036577793,RT @FactsOnClimate: BREAKING: @POTUS joins 19 countries to double clean energy funding - https://t.co/T2lZWRsuja #ActOnClimate #COP21 https...,19,CARDINAL,43,45
570298096187543552,Some in Congress would choose not to fund @DHSgov rather than fix our broken immigration system. #EnoughAlready,Congress,ORG,8,16
771070737624866816,Senate leaders need to hear you expect a vote on Judge Garland when recess ends--say you'll let them know: https://t.co/ETmcpsRRY6 #DoYourJob,Senate,ORG,0,6
771070737624866816,Senate leaders need to hear you expect a vote on Judge Garland when recess ends--say you'll let them know: https://t.co/ETmcpsRRY6 #DoYourJob,Garland,PERSON,55,62
771070737624866816,Senate leaders need to hear you expect a vote on Judge Garland when recess ends--say you'll let them know: https://t.co/ETmcpsRRY6 #DoYourJob,#,CARDINAL,131,132
549615122100924416,"President Obama: ""I won't stop fighting for the American people until the day I leave this office. That's a promise."" http://t.co/nSu23qqy51",Obama,PERSON,10,15
549615122100924416,"President Obama: ""I won't stop fighting for the American people until the day I leave this office. That's a promise."" http://t.co/nSu23qqy51",American,NORP,48,56
549615122100924416,"President Obama: ""I won't stop fighting for the American people until the day I leave this office. That's a promise."" http://t.co/nSu23qqy51",the day,DATE,70,77
607988434028797952,"RT @WhiteHouse: ""All the G-7 countries have now put forward our post-2020 targets for reducing carbon emissions"" --@POTUS #G7Summit http://t...",post-2020,GPE,64,73
666727006311174144,RT @OFA: Meet @GQMagazine's 2015 Man of the Year: President @BarackObama. https://t.co/HoaCoPm22s,2015 Man of the Year,DATE,28,48
666727006311174144,RT @OFA: Meet @GQMagazine's 2015 Man of the Year: President @BarackObama. https://t.co/HoaCoPm22s,@BarackObama,PERSON,60,72
513405769610715136,Check this out: @OFA volunteers in California took a stand for clean energy. http://t.co/L7NkNShKz3 #SwitchToClean,California,GPE,35,45
818966711995088896,"Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell",Tonight,TIME,0,7
818966711995088896,"Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell",Obama,PERSON,19,24
818966711995088896,"Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell",eight years,DATE,37,48
818966711995088896,"Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell",9 pm,TIME,92,96
535587577152417792,Watch at 8 p.m. ET: President Obama is laying out common-sense steps forward on immigration: http://t.co/eG4leiFU8u #ImmigrationAction,8 p.m.,TIME,9,15
535587577152417792,Watch at 8 p.m. ET: President Obama is laying out common-sense steps forward on immigration: http://t.co/eG4leiFU8u #ImmigrationAction,Obama,PERSON,30,35
604294271210921984,New clean water provisions will help protect the health of 117 million Americans. Read more: http://t.co/7qXT338jls #CleanWaterRules,117 million,CARDINAL,59,70
604294271210921984,New clean water provisions will help protect the health of 117 million Americans. Read more: http://t.co/7qXT338jls #CleanWaterRules,Americans,NORP,71,80
644241813046296580,"RT @POTUS: Cool clock, Ahmed. Want to bring it to the White House? We should inspire more kids like you to like science. It's what makes Am...",Ahmed,PERSON,23,28
644241813046296580,"RT @POTUS: Cool clock, Ahmed. Want to bring it to the White House? We should inspire more kids like you to like science. It's what makes Am...",the White House,ORG,50,65
758686303298826240,It's time to offer serious solutions on how to build on #Obamacare's progress--not take it away. https://t.co/rw69A5Jybh,Obamacare,PERSON,57,66
637287572310351873,"RT @WhiteHouse: ""You know the sun comes out after every storm."" --@POTUS on the progress since Katrina and the work still ahead: http://t.co...",Katrina,LOC,95,102
