calories,protein,fat,sodium,fiber,rating
70,4,1,130,10,68.402973
120,3,5,15,2,33.983679
70,4,1,260,9,59.425505
50,4,0,140,14,93.704912
110,2,2,180,1.5,29.509541
110,2,0,125,1,33.174094
130,3,2,210,2,37.038562
90,2,1,200,4,49.120253
90,3,0,210,5,53.313813
120,1,2,220,0,18.042851
110,6,2,290,2,50.764999
120,1,3,210,0,19.823573
110,3,2,140,2,40.400208
110,1,1,180,0,22.736446
110,2,0,280,0,41.445019
100,2,0,290,1,45.863324
110,1,0,90,1,35.782791
110,1,1,180,0,22.396513
110,3,3,140,4,40.448772
110,2,0,220,1,46.895644
100,2,1,140,2,36.176196
100,2,0,190,1,44.330856
110,2,1,125,1,32.207582
110,1,0,200,1,31.435973
100,3,0,0,3,58.345141
120,3,2,160,5,40.917047
120,3,0,240,5,41.015492
110,1,1,135,0,28.025765
100,2,0,45,0,35.252444
110,1,1,280,0,23.804043
100,3,1,140,3,52.076897
110,3,0,170,3,53.371007
120,3,3,75,3,45.811716
120,1,2,220,1,21.871292
110,3,1,250,1.5,31.072217
110,1,0,180,0,28.742414
110,2,1,170,1,36.523683
140,3,1,170,2,36.471512
110,2,1,260,0,39.241114
100,4,2,150,2,45.328074
110,2,1,180,0,26.734515
100,4,1,0,0,54.850917
150,4,3,95,3,37.136863
150,4,3,150,3,34.139765
160,3,2,150,3,30.313351
100,2,1,220,2,40.105965
120,2,1,190,0,29.924285
140,3,2,220,3,40.69232
90,3,0,170,3,59.642837
130,3,2,170,1.5,30.450843
120,3,1,200,6,37.840594
100,3,0,320,1,41.50354
50,1,0,0,0,60.756112
50,2,0,0,1,63.005645
100,4,1,135,2,49.511874
100,5,2,0,2.7,50.828392
120,3,1,210,5,39.259197
100,3,2,140,2.5,39.7034
90,2,0,0,2,55.333142
110,1,0,240,0,41.998933
110,2,0,290,0,40.560159
80,2,0,0,3,68.235885
90,3,0,0,4,74.472949
90,3,0,0,3,72.801787
110,2,1,70,1,31.230054
110,6,0,230,1,53.131324
90,2,0,15,3,59.363993
110,2,1,200,0,38.839746
140,3,1,190,4,28.592785
100,3,1,200,3,46.658844
110,2,1,250,0,39.106174
110,1,1,140,0,27.753301
100,3,1,230,3,49.787445
100,3,1,200,3,51.592193
110,2,1,200,1,36.187559
